,power.jaap_rodenburg_2.prod.obs.kw.geco.h
2024-01-08 08:00:00+00:00,0.5680921052631579
2024-01-08 09:00:00+00:00,0.4731907894736842
2024-01-08 10:00:00+00:00,0.3713815789473684
2024-01-08 11:00:00+00:00,0.42023026315789475
2024-01-08 12:00:00+00:00,0.5519736842105263
2024-01-08 13:00:00+00:00,0.5006578947368421
2024-01-08 14:00:00+00:00,0.6684210526315789
2024-01-08 15:00:00+00:00,0.5462171052631579
2024-01-08 16:00:00+00:00,0.33980263157894736
2024-01-08 17:00:00+00:00,0.4825657894736842
2024-01-08 18:00:00+00:00,0.49490131578947366
2024-01-08 19:00:00+00:00,0.3904605263157895
2024-01-08 20:00:00+00:00,0.3962171052631579
2024-01-08 21:00:00+00:00,0.4230263157894737
2024-01-08 22:00:00+00:00,0.4712171052631579
2024-01-08 23:00:00+00:00,0.38207236842105263
2024-01-09 00:00:00+00:00,0.31529605263157895
2024-01-09 01:00:00+00:00,0.2643092105263158
2024-01-09 02:00:00+00:00,0.2194078947368421
2024-01-09 03:00:00+00:00,0.2481907894736842
2024-01-09 04:00:00+00:00,0.31414473684210525
2024-01-09 05:00:00+00:00,0.4049342105263158
2024-01-09 06:00:00+00:00,0.5616776315789473
2024-01-09 07:00:00+00:00,0.5328947368421053
2024-01-09 08:00:00+00:00,0.48092105263157897
2024-01-09 09:00:00+00:00,0.30970394736842105
2024-01-09 10:00:00+00:00,0.16726973684210528
2024-01-09 11:00:00+00:00,0.18980263157894736
2024-01-09 12:00:00+00:00,0.2725328947368421
2024-01-09 13:00:00+00:00,0.2814144736842105
2024-01-09 14:00:00+00:00,0.3503289473684211
2024-01-09 15:00:00+00:00,0.31957236842105263
2024-01-09 16:00:00+00:00,0.4368421052631579
2024-01-09 17:00:00+00:00,0.40131578947368424
2024-01-09 18:00:00+00:00,0.3952302631578947
2024-01-09 19:00:00+00:00,0.3245065789473684
2024-01-09 20:00:00+00:00,0.31282894736842104
2024-01-09 21:00:00+00:00,0.29375
2024-01-09 22:00:00+00:00,0.38585526315789476
2024-01-09 23:00:00+00:00,0.4625
2024-01-10 00:00:00+00:00,0.384375
2024-01-10 01:00:00+00:00,0.45608552631578947
2024-01-10 02:00:00+00:00,0.13273026315789474
2024-01-10 03:00:00+00:00,0.09358552631578948
2024-01-10 04:00:00+00:00,0.20444078947368421
2024-01-10 05:00:00+00:00,0.21134868421052633
2024-01-10 06:00:00+00:00,0.20657894736842106
2024-01-10 07:00:00+00:00,0.2657894736842105
2024-01-10 08:00:00+00:00,0.17023026315789475
2024-01-10 09:00:00+00:00,0.16661184210526317
2024-01-10 10:00:00+00:00,0.11003289473684211
2024-01-10 11:00:00+00:00,0.1
2024-01-10 12:00:00+00:00,0.12417763157894737
2024-01-10 13:00:00+00:00,0.12796052631578947
2024-01-10 14:00:00+00:00,0.26398026315789475
2024-01-10 15:00:00+00:00,0.16611842105263158
